city,neighborhood,zip_code,median_household_income,dominant_age_group,population_density,avg_commercial_rent_sqft,foot_traffic_index,food_dining_spend_index,retail_spend_index,wellness_spend_index,nightlife_index,family_index,tourism_score
Chicago,Wicker Park,60622,90000,25-40,15000,4.50,88,85,82,68,85,30,60
Chicago,Lincoln Park,60614,115000,25-45,14000,4.80,80,78,78,75,65,70,55
Chicago,Logan Square,60647,75000,25-38,13000,3.80,78,80,70,62,78,40,35
Chicago,West Loop,60607,105000,28-42,16000,5.50,90,90,75,70,80,25,72
Chicago,Bucktown,60647,98000,28-42,12000,4.20,75,78,75,68,70,50,30
Chicago,River North,60654,120000,25-45,18000,6.50,92,82,85,65,88,15,85
Chicago,Old Town,60610,110000,28-45,13000,4.80,72,75,72,65,60,55,50
Chicago,Lakeview,60657,85000,25-40,16000,4.00,78,75,70,72,75,45,40
Chicago,Hyde Park,60615,70000,22-40,11000,3.00,55,58,55,55,35,65,45
Chicago,Pilsen,60608,52000,22-38,14000,2.80,72,75,60,50,65,45,50
Chicago,Andersonville,60640,78000,28-45,12000,3.20,65,72,68,70,55,55,25
Chicago,Gold Coast,60610,150000,30-55,17000,7.00,82,78,88,72,60,35,75
Chicago,Humboldt Park,60647,48000,25-40,12000,2.20,50,52,45,40,45,55,15
Chicago,Ukrainian Village,60622,82000,25-38,11000,3.50,68,72,65,58,68,40,22
Chicago,South Loop,60605,95000,28-42,14000,4.50,75,70,68,62,55,50,60
Los Angeles,Silver Lake,90026,85000,25-40,12000,4.00,78,82,72,70,75,35,45
Los Angeles,Venice,90291,105000,25-45,11000,5.50,88,85,78,82,72,30,90
Los Angeles,Los Feliz,90027,95000,28-45,10000,4.20,72,80,70,72,65,50,40
Los Angeles,Santa Monica - Main St,90401,115000,25-45,14000,6.00,90,82,85,80,68,40,92
Los Angeles,West Hollywood,90046,88000,25-40,15000,5.20,85,80,82,78,90,20,78
Los Angeles,Echo Park,90026,68000,22-38,13000,3.20,72,75,62,58,70,40,35
Los Angeles,Arts District,90013,92000,25-38,8000,4.80,78,78,72,60,72,15,65
Los Angeles,Highland Park,90042,72000,25-40,10000,3.00,68,72,60,55,62,50,25
Los Angeles,Culver City,90232,98000,28-45,9000,4.50,70,72,72,68,55,65,40
Los Angeles,Pasadena - Old Town,91101,88000,28-50,11000,4.00,82,78,80,65,58,55,70
Los Angeles,Larchmont Village,90004,110000,30-50,9500,4.80,65,78,75,72,35,75,30
Los Angeles,Koreatown,90020,55000,22-40,22000,3.50,82,85,62,50,80,30,55
Los Angeles,Atwater Village,90039,90000,28-42,8500,3.40,60,70,62,65,45,60,20
Los Angeles,Manhattan Beach,90266,155000,30-55,8000,5.80,72,75,78,80,45,78,65
Los Angeles,Abbot Kinney,90291,120000,25-42,10000,6.50,88,88,85,75,70,25,88
Seattle,Capitol Hill,98102,82000,22-38,16000,4.20,88,82,72,68,88,20,55
Seattle,Fremont,98103,95000,25-40,12000,3.80,72,75,68,65,60,50,45
Seattle,Ballard,98107,92000,28-42,11000,3.60,78,80,72,70,68,55,40
Seattle,Queen Anne,98109,105000,28-45,13000,4.50,70,72,70,68,50,60,50
Seattle,University District,98105,48000,18-28,18000,3.00,75,62,55,50,65,15,35
Seattle,Wallingford,98103,98000,30-45,10000,3.40,58,65,62,68,35,80,15
Seattle,Columbia City,98118,78000,28-42,9000,2.80,62,68,58,55,50,65,20
Seattle,Georgetown,98108,65000,25-38,7000,2.50,50,58,52,45,55,30,15
Seattle,Pioneer Square,98104,75000,25-40,14000,4.00,80,72,65,55,75,10,72
Seattle,Pike Place / Waterfront,98101,90000,25-45,16000,6.00,95,88,82,60,70,15,98
Seattle,Green Lake,98115,105000,28-45,9500,3.50,65,68,65,75,30,82,25
Seattle,South Lake Union,98109,115000,25-38,15000,5.50,82,72,70,72,55,20,55
Seattle,Madison Park,98112,160000,35-55,6000,4.50,40,60,68,70,20,75,15
Seattle,Beacon Hill,98144,68000,28-45,10000,2.40,55,62,52,48,35,70,12
Seattle,West Seattle Junction,98116,95000,30-50,8000,3.20,62,68,65,62,40,78,18
